user_id,item_id,user_ratio,user_cartnum
19877012,24670390,0.2857142857142857,49.0
76918147,21933854,0.2562814070351759,597.0
83583566,188329744,0.3157894736842105,133.0
14555625,275676831,0.07692307692307693,65.0
119687381,153994408,0.27941176470588236,68.0
90251602,10863759,0.10163934426229508,305.0
86531384,380218017,0.10689655172413794,290.0
83976914,3598584,0.08495145631067962,412.0
132233475,157222312,0.3116883116883117,77.0
124167000,4486554,0.3103448275862069,464.0
97089469,239968054,0.3805309734513274,113.0
53308425,220083935,0.6390977443609023,133.0
101570549,386204441,0.35555555555555557,45.0
130461158,343377121,0.05952380952380952,840.0
115312970,323737435,0.3333333333333333,21.0
93182231,245733521,0.22330097087378642,103.0
131965938,238748087,0.2727272727272727,44.0
74335554,69010024,0.07836990595611286,319.0
95528086,337264594,1.0,8.0
3066501,194121445,0.36363636363636365,11.0
54658244,124740763,0.22842639593908629,394.0
80894940,85750486,0.34951456310679613,103.0
102244291,137059440,0.15853658536585366,82.0
18658765,310894938,0.09774436090225563,133.0
82857884,165464837,0.7391304347826086,23.0
37188049,332158783,0.44680851063829785,47.0
75135449,292886855,0.18,50.0
2355429,107285137,0.175,80.0
32400706,133321902,0.47804878048780486,205.0
93890776,38181334,0.496551724137931,145.0
74953244,358652353,0.21739130434782608,46.0
95411085,396777904,0.2,25.0
61531068,333606546,0.05952380952380952,84.0
109005178,357828069,0.25,76.0
25535039,259072054,0.22580645161290322,31.0
51826644,124163667,0.24369747899159663,119.0
71517427,397606004,0.22627737226277372,137.0
86626211,164947680,0.08333333333333333,24.0
110122107,92934456,0.45588235294117646,136.0
119687381,372768555,0.27941176470588236,68.0
29091169,166721554,0.8666666666666667,15.0
20626308,401382795,0.5119047619047619,84.0
75648334,75746707,0.2493368700265252,377.0
22846324,248678326,0.2079207920792079,202.0
134029279,225135503,0.4727272727272727,55.0
84080163,402493163,0.3283582089552239,67.0
89492416,351793368,0.15730337078651685,89.0
1017622,17181108,0.2831858407079646,226.0
137359772,366792615,0.37037037037037035,27.0
32696162,380080260,0.7272727272727273,11.0
45163199,77433368,1.0,3.0
60296781,307025590,0.46808510638297873,47.0
106029601,108673156,0.08823529411764706,68.0
90291184,297161768,0.37681159420289856,69.0
78574430,189615522,0.3829787234042553,141.0
109005178,45450609,0.25,76.0
80894940,63940672,0.34951456310679613,103.0
115971384,99795326,0.10670731707317073,328.0
3750447,322869350,0.7631578947368421,38.0
75648334,196103583,0.2493368700265252,377.0
75232063,208960176,0.2804878048780488,164.0
40737016,186348629,0.39285714285714285,28.0
133463691,393423629,0.23387096774193547,124.0
80894940,53525660,0.34951456310679613,103.0
58883715,50999488,0.5555555555555556,63.0
4261260,383495355,0.11688311688311688,154.0
89492416,366845794,0.15730337078651685,89.0
52655107,13688000,0.18032786885245902,122.0
29550258,317358736,0.44,25.0
76048990,43359414,0.19078947368421054,152.0
49829658,165818906,0.5223880597014925,67.0
97378097,145108925,0.4117647058823529,17.0
119687381,321357271,0.27941176470588236,68.0
4601466,205895027,0.3333333333333333,159.0
25831491,172530265,0.21428571428571427,14.0
107680357,142434490,0.2702702702702703,37.0
30699451,391680136,0.25,24.0
50340729,257341585,0.6666666666666666,6.0
107024477,286003516,0.09417040358744394,223.0
125573135,214204975,0.3611111111111111,72.0
12051954,386483645,0.5873015873015873,63.0
22007082,162951279,1.0,3.0
86929922,139597143,0.7384615384615385,65.0
37709773,318661027,0.31901840490797545,163.0
55530513,313045652,0.4782608695652174,23.0
3750447,61327706,0.7631578947368421,38.0
89492416,272427362,0.15730337078651685,89.0
4008563,404256208,0.49122807017543857,57.0
96790667,166522472,0.42857142857142855,42.0
42694858,330631189,0.6538461538461539,52.0
10149605,90329402,0.7296222664015904,503.0
131404662,366577480,0.5333333333333333,30.0
120964894,218567831,0.11612903225806452,155.0
82857884,189738444,0.7391304347826086,23.0
94628165,309722125,0.41836734693877553,98.0
66369549,217203927,0.1492007104795737,563.0
97089469,290376871,0.3805309734513274,113.0
55694827,169986353,0.36363636363636365,11.0
23038853,221191123,0.41414141414141414,99.0
76048990,195575726,0.19078947368421054,152.0
90291184,103412996,0.37681159420289856,69.0
28720302,180494189,0.34513274336283184,113.0
75135449,280764598,0.18,50.0
110122107,96316588,0.45588235294117646,136.0
7176156,190431666,1.0,5.0
75648334,314598122,0.2493368700265252,377.0
14656393,267677097,0.11059907834101383,434.0
66420329,343652770,1.0,36.0
27809186,46328789,0.4444444444444444,90.0
121393413,329950803,0.21621621621621623,74.0
139458443,184995596,1.0,7.0
80332039,296094934,0.15730337078651685,89.0
82857884,403958258,0.7391304347826086,23.0
77881862,402997342,0.29914529914529914,117.0
12399556,327132085,0.15529411764705883,425.0
142151675,225822506,0.26865671641791045,67.0
91750843,146817966,0.6666666666666666,6.0
