user_id,item_id,item_cartnum,item_ratio
19877012,24670390,2.0,0.5
76918147,21933854,1.0,1.0
83583566,188329744,3.0,0.3333333333333333
14555625,275676831,2.0,0.5
119687381,153994408,2.0,0.5
90251602,10863759,2.0,0.5
86531384,380218017,2.0,0.5
83976914,3598584,3.0,0.3333333333333333
132233475,157222312,1.0,1.0
124167000,4486554,1.0,1.0
97089469,239968054,2.0,0.5
53308425,220083935,2.0,0.5
101570549,386204441,2.0,0.5
130461158,343377121,2.0,0.5
115312970,323737435,5.0,0.6
93182231,245733521,3.0,0.3333333333333333
131965938,238748087,2.0,0.5
74335554,69010024,4.0,0.5
95528086,337264594,2.0,1.0
3066501,194121445,2.0,0.5
54658244,124740763,2.0,0.5
80894940,85750486,5.0,0.2
102244291,137059440,2.0,0.5
18658765,310894938,5.0,0.4
82857884,165464837,3.0,0.6666666666666666
37188049,332158783,3.0,0.6666666666666666
75135449,292886855,2.0,0.5
2355429,107285137,2.0,0.5
32400706,133321902,5.0,0.6
93890776,38181334,2.0,0.5
74953244,358652353,2.0,0.5
95411085,396777904,1.0,1.0
61531068,333606546,1.0,1.0
109005178,357828069,2.0,0.5
25535039,259072054,1.0,1.0
51826644,124163667,2.0,1.0
71517427,397606004,2.0,0.5
86626211,164947680,3.0,0.3333333333333333
110122107,92934456,2.0,0.5
119687381,372768555,2.0,0.5
29091169,166721554,7.0,0.5714285714285714
20626308,401382795,3.0,0.6666666666666666
75648334,75746707,2.0,0.5
22846324,248678326,4.0,0.25
134029279,225135503,1.0,1.0
84080163,402493163,2.0,0.5
89492416,351793368,3.0,0.3333333333333333
1017622,17181108,2.0,0.5
137359772,366792615,2.0,0.5
32696162,380080260,2.0,1.0
45163199,77433368,5.0,0.4
60296781,307025590,4.0,0.25
106029601,108673156,2.0,0.5
90291184,297161768,11.0,0.45454545454545453
78574430,189615522,1.0,1.0
109005178,45450609,8.0,0.375
80894940,63940672,5.0,0.2
115971384,99795326,2.0,0.5
3750447,322869350,2.0,1.0
75648334,196103583,3.0,0.6666666666666666
75232063,208960176,6.0,0.6666666666666666
40737016,186348629,2.0,0.5
