user_id,item_id
95872965,308814851
100247732,77206631
105100646,81664019
120083395,39557244
82169054,77787199
121545499,151639901
13201221,218283610
13201221,121764981
70851841,127674659
129077923,98151013
62290638,243401808
43849039,21978773
43150394,335785915
24731176,364218756
9804081,42953744
140483725,289242569
124790821,103262570
28692321,27714890
106640087,130596926
9238104,93324174
136514003,367054431
47769110,38921908
70515163,379938720
112503956,118555707
86017186,300192764
87948577,26233365
26604313,234269017
44449753,333184306
142128951,362847476
142368840,184682599
44939837,269696119
41138904,315067614
133173163,364269579
22884828,339245218
107269463,305952037
6685234,186980059
141664851,391963782
88927446,301058119
96786739,369687189
77053167,210621557
106966217,199985305
47035700,352537181
81748621,343060925
141661456,11606462
53629148,29558581
3889704,265224373
88513390,53070655
20029510,196730570
81890271,382864141
11689510,354607805
47074069,73427924
66420329,297758110
66420329,9970661
128669773,35343145
64244429,143078920
8443684,273780957
50347397,68235998
50347397,308308434
50347397,116536451
142095821,248363693
108437297,168308458
21782028,316483485
21782028,316483485
25541349,84580366
93232888,156152728
14705382,232092845
47156937,152863331
124173840,111302453
141166480,56456662
14568076,16211027
14568076,108178198
106900965,111050154
139432164,152946987
139432164,171197531
45246385,106564339
44220176,153933458
51969859,228508126
51969859,228508126
78522957,24867754
122818954,398736383
87385056,103315288
61454504,350812057
85400670,64421460
54465497,103049639
81142517,298014765
81142517,71116537
117961451,176246540
21507233,332400655
10746742,332910129
10746742,36434189
68183978,315399720
16716001,27631097
111616816,88211074
142151675,159386403
142151675,293855130
105417760,270973335
137190407,286963989
119149297,279029079
105513316,249496450
80384982,393777466
73663591,294762335
75235204,88771075
47838419,94657062
76801906,220831574
7390410,115969712
98051914,367398907
56790163,358261097
76945203,321673304
63421528,89185097
29025946,342942247
29025946,226409374
29025946,81875886
39918045,100510236
39918045,234806886
37924356,248109489
55274592,329582162
126536985,300007385
45542148,70698776
50197899,229453622
103872466,280256957
71276064,56488260
8033491,318882813
130540609,75227569
8033491,368203961
40492706,240498886
25742135,249161454
126745464,216933389
75854560,108811774
846647,291140773
42557195,255610267
74927547,180347415
11635792,79540633
133442561,246606052
122102339,368431105
122102339,43679680
130831293,163781088
25318332,308670269
115368454,151561584
115368454,277323023
118974630,97457052
115368454,89500334
140199015,201208031
28982451,199779599
48830771,197287563
107705620,246824401
95103333,393946166
79395550,107731156
21287960,242787206
21287960,299605615
21287960,254336653
21287960,58669720
21287960,178115905
21287960,199919450
108983810,284420639
108983810,296132653
103634139,277567049
127935117,12041237
57361144,370295560
23696138,357919531
12039328,148487085
66232679,79226524
75976369,119136219
15183813,307874166
42716226,366283042
24189643,56574516
49929778,291308085
115343862,372483532
3192805,343205261
82733729,17091831
123575075,36712267
72384905,221535540
44567219,399479279
111665868,19573964
136435630,138373234
103121345,330437074
36203258,62997986
48890303,943218
92500742,346074904
44397875,46350743
44397875,84369742
121777817,223339742
121777817,44939477
26504830,162028798
112706018,382865386
117779747,100379797
117779747,159937283
19010396,353054834
43359390,361891386
15987177,286773215
100112070,336289890
100112070,364509884
100112070,392913472
40605509,191946697
20500525,74842095
37305183,61458926
139668332,70693552
423794,64716278
117580921,181320412
82874137,403898337
82874137,327086734
129539766,85553920
129539766,369658408
129539766,59856020
138524216,169319328
84580258,238680948
53027238,369616073
1144286,266914720
33050706,291434851
104577182,246048836
104577182,368582451
90943326,326599360
29217415,118625698
76181117,368605481
64126748,177974310
28808272,137385386
118563040,349954199
36113584,121147306
36113584,28343811
92645086,157909604
50020786,181866882
69151720,329654374
73433921,17775396
26347276,190462289
2935703,131744505
135572975,208848720
100929958,87249754
136588388,175484669
133948296,83705365
61485943,119682818
8702919,142084372
99735273,295227071
99735273,3636866
99735273,192626145
99735273,373442328
7409910,274907418
140070019,217445586
140070019,80980966
140070019,291435336
140070019,291435336
140070019,62060863
2030793,154966341
21838112,193775409
118289685,321820725
12163667,129794706
12163667,91926972
65120590,388765948
40039522,165140838
1017622,51170577
4770315,224849339
130583905,85560132
23923497,23257865
88749982,392960301
88749982,173896192
52103664,293245072
45021480,121967038
130636629,263579531
74155886,348952072
118911942,338552899
13178504,215758251
68491491,151934260
68491491,82713742
84849812,88176534
134297173,230492754
134297173,88602383
134297173,355771561
32831611,234169273
79706511,222135746
14417361,149237244
14417361,34941083
108611714,163423891
18261127,126996012
92801680,170949218
59172718,163325119
38479453,79191141
100110794,89541180
81611585,157591690
132683466,12400657
132683466,330595834
81450166,141318715
62833605,156640653
9184855,107383488
102411295,53159591
83703543,311073509
109684252,386187806
66876679,6685978
77399157,194833743
72663653,124371408
38885211,350502930
61718224,280908500
127942702,177661952
39775594,206989507
2099277,202283524
2099277,71714235
2099277,107205212
74086245,338992760
74086245,240654770
1778994,32053534
1778994,7810436
93029303,83791174
131214060,250573636
77139316,220744782
125040946,94830270
110679472,289359878
121687772,141043209
2604596,377815788
16382658,6974424
102721378,383803546
108472858,295053576
91756742,163795815
1376538,238401561
26509398,77595671
115802990,302751929
60242958,105270601
139198871,205515005
132601166,253517434
132601166,70237144
108028927,303617973
96352312,87497489
113702719,240182993
113702719,240182993
113702719,131881037
66872523,34152144
1399592,44005276
74309234,348995578
64881151,363494215
136085033,175628872
136085033,190425109
84913654,329047694
121340861,157317193
19490224,381123677
19490224,58627288
19490224,168052236
99937280,201999136
126943639,211361756
100154665,209039078
100154665,255797643
113730629,382683639
37693647,258487214
138254559,305220636
5485673,197297815
82738660,209372709
123226008,115094093
123620434,105724346
22007082,275357515
1351481,52483779
15664477,199843428
15664477,316148437
78354040,137847506
109258006,157695028
123829617,261902407
123829617,287714042
123829617,261803889
61121803,213984901
99144500,325861024
55585675,124971056
15303697,308497710
22717128,245169816
109705911,283013253
66079671,205843800
99781237,76783485
122663988,337143221
85740035,355845499
44479518,2066634
21597711,194173121
21597711,327590082
74781533,282715888
89003687,244717079
89003687,121381931
56094913,77321550
157097,271086096
32156553,228711555
140723381,307698146
64614030,319882501
847362,164228019
24438539,127776350
53693834,269469896
17967304,177753336
131903746,62948039
80861721,168630907
21070014,91698190
76939979,260443912
104732482,270314083
111187439,230194640
96079462,282867115
114719627,62401135
134153229,204819264
4573013,377174204
33674599,315495406
62370992,315361727
101898979,261555414
101898979,261555414
101898979,261555414
101898979,143930320
101898979,46327631
141757856,255213035
127098592,81995291
128066004,374642567
127660246,344098767
127660246,288166374
127660246,292327557
97132998,64651079
123829617,254959191
132210450,53159591
132683466,30605666
61450887,320856472
47035700,116127955
64126748,177974310
64126748,399099433
64126748,255869258
31222716,166510950
81890271,340850794
81890271,340850794
139198871,330215741
135152581,196533344
129894791,142737028
62290638,30960834
74155886,71542910
129539766,17857592
125945783,141882488
74155886,293692953
83988987,314472669
83307780,61830241
100039408,259965679
66374251,69179868
44706382,58171969
44706382,261541210
54254339,100564781
110450175,136783407
57502610,43281222
35014928,232244144
21597711,396523079
80384982,250640464
110437894,155939462
135725977,141963872
11517935,392881615
101876830,239054035
18261127,228788483
18261127,101461515
18261127,138936519
18261127,339491935
55585675,259362395
3466367,142493094
86241219,272580942
86241219,94059945
86241219,7349425
50010860,326970800
89903781,384795116
89903781,375925771
139432164,192942418
59401882,322183612
20626308,200936658
67594087,224213814
130461158,218887762
130461158,180647309
64698675,86777075
130461158,185966357
83790946,261405347
77053167,373383102
52749694,118527624
10237539,100318372
92645086,246287537
111105453,392607275
26195311,311170274
124799559,377736626
11066851,262021670
116486348,18389004
1627203,176838805
81142517,76526536
81142517,403783457
59746563,390931223
117961451,183786681
76712733,350711263
81295365,228085204
119525203,185910091
135080969,225304152
57782645,184030148
17967304,196826425
17967304,349956278
17967304,315503602
80903343,107233084
80903343,40682406
80903343,280281566
131187235,365065073
131187235,35363265
131187235,301114008
121420532,118992232
113659431,355951058
26025143,14777
112009635,176507144
