user_id,item_id
116324656,67303001
57105532,368405508
114008857,303552604
29881921,122844422
25142712,139670114
111240351,3018435
24625325,48976143
113309982,381222202
75648334,178097338
122131736,222428649
119938369,2971833
52132931,291816693
59688022,140493435
36445695,388591559
134261042,12754595
139756567,19951970
33470115,246120781
94524054,246533474
44443335,161588940
88999753,244438112
38965513,256013269
31222716,370731092
88999753,56365225
39395202,311641056
69246472,283112555
92318081,42041806
79395550,182166900
84916776,340078223
117044327,64787521
15709274,289462964
22182160,284570861
131187235,125380022
7419355,96076959
136394248,187818298
103336492,258648651
138072562,247758422
132315137,56929979
126665202,358795805
21023173,164585207
122253338,27125724
73303243,234780852
23806494,312895944
9573620,8718185
15583256,17827111
75648334,363211758
95103333,26564609
54788662,9510510
17258875,247894533
133296696,235910404
8973625,150171345
101955475,188786962
118117975,370222118
114008857,152507745
54133893,371923633
99781237,48426430
107024477,312152191
106083110,130843827
129077923,82123828
135426325,379949050
118352761,189305667
46476731,229715658
47248096,346794151
95482704,310399308
109002193,9929516
7432045,282450646
39660335,140581083
33245877,36074923
101955475,256632200
97281252,262517482
98199141,324851937
24001750,403025890
57824292,331271115
46405869,264530449
82539272,63986874
122183715,165177176
121000384,28910257
99693145,391129150
81611585,169271762
84760261,96071783
121194621,102318434
117916111,307717059
86530795,101895470
101955475,371820052
25215291,21832653
101955475,203921758
88033835,321902159
70351058,207923204
21406678,403803036
94145179,257666776
81209558,287871159
77142272,126603721
117956367,168864072
37012367,133805030
64519524,13512014
140990654,375453140
129583911,355678855
110047109,262374672
96771520,22377421
102036262,126766869
108527493,76361589
88231861,226205695
7780072,292908296
103936681,64505448
101955475,98606230
57502610,58654275
71090471,121468553
89643940,113949830
122129755,314445640
74552997,319603692
33918143,287453680
85784910,343021886
90579934,365793560
138086251,329501788
120845902,43352216
106295017,323593580
60175632,78893915
91301440,19948895
44132277,340709651
12866931,94584071
121979409,349629538
54788662,266842481
134230531,288807789
98303971,230194561
139473011,237307495
17258875,172258255
138862609,12381320
18261127,43921238
90081052,238620851
7956207,393826449
37012367,152989009
134316585,168514972
61950050,327800738
17258875,275978540
66179672,37551303
45820472,321253636
79614874,336319428
113309982,68644647
136754847,326950567
29438088,175801166
45454313,300949542
36034193,47092694
62073731,173898552
16716001,129575293
72016943,348860956
89747391,67662698
76435150,244994150
1902324,362760008
47060411,391602028
61038739,208401398
132984253,56726839
91127849,20169059
59106109,390781828
74209995,235823041
75971112,168361030
19260041,143234344
50871193,64587434
33406584,224886727
132958679,249342260
130461158,218371482
71210938,216333763
78129838,313842531
49755294,197731905
134882084,338805801
95751943,384551428
79181598,264150600
90083915,88409346
93270642,293082809
82524017,203812582
135488940,189708570
100326566,175108991
28106685,156763283
48213081,298449622
61950050,286059806
55021707,148462074
24219008,224829052
54788662,153380013
116036613,37548448
59688022,391651672
116510616,151574570
93563618,157822387
108871998,132934351
10773940,86470357
16043768,193214274
47780833,192605524
32541073,273382322
38915660,15839104
53797092,59881147
89885556,371615371
64076866,377807378
57074474,175813216
29036383,86582608
132144807,351793378
80458455,55207351
117765542,184020296
59541795,112760300
102182796,341408334
90251602,323706238
36442529,99731799
130902250,380927999
55532702,122860274
29927052,340828307
90579934,304939831
87351617,395351488
102943049,394340045
38965513,48976143
52132931,28416581
17967304,41284987
86017186,93011346
20022840,369634220
72640602,24785733
20964170,50105251
142044216,257612655
103664180,184357972
76090844,355926875
66393587,144542358
99093727,314170570
113134393,43830271
15019848,310483336
100973258,55774929
28462928,138392211
84515674,176171897
87658501,156746816
91127849,252587905
90684505,8086823
68517256,376625716
55668630,78947997
34891822,87824670
39619583,126955906
105875466,279253927
95869367,85475438
8973625,236535283
32203843,353118241
88504838,87273256
27662805,346411519
41993155,241743215
59688022,80086051
92871619,16463414
99693145,244219024
129894791,61997819
136478664,168630681
64712283,256116836
101955475,36453428
76146995,113339311
138161959,6488951
54159601,116903593
95103333,43593933
38016396,288645123
113309982,292173616
64379712,366688262
130743379,211727418
86056995,397619017
96253403,69595781
116006674,134999585
80115965,3474033
105875466,312351856
70680961,87944150
85897088,72417831
71022760,338546219
119093325,311454240
89662943,51639837
132315137,127479905
23806494,225422872
90251602,253797120
63582274,255206820
84760261,392344091
56491409,224284583
140671079,8700292
57261890,41162958
96079462,364841251
92407592,83321046
36058886,240710031
112428019,395292689
28743854,140649993
73172497,371433757
30872855,335288604
106479107,389142209
89885556,294113265
121194621,335583369
47248096,168616537
117058802,229908326
